,rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness,eco_score
8732,2004,5,12,8,0,26
8733,500,2,13,8,0,64
8734,701,2,9,7,0,68
8735,1354,6,16,9,0,22
8736,1944,3,21,8,0,43
8737,1632,1,16,6,0,61
8738,2834,3,5,7,0,42
8739,762,2,11,7,0,69
8740,1274,2,4,7,0,69
8741,2864,1,12,6,0,43
8742,1891,0,3,7,0,64
8743,2419,2,18,8,0,25
8744,3235,4,6,8,0,34
8745,1314,2,5,7,0,56
8746,1730,0,1,8,0,64
8747,1609,5,10,9,0,30
8748,500,4,14,8,0,45
8749,1582,1,14,9,0,42
8750,2416,3,7,9,0,37
8751,2178,3,15,7,0,49
8752,2233,2,8,7,0,52
8753,1537,3,4,6,1,70
8754,1340,1,14,8,0,77
8755,2688,1,7,7,0,51
8756,1451,3,8,8,0,43
8757,2005,1,17,5,0,66
8758,1914,3,15,8,0,44
8759,2823,2,22,10,0,9
8760,2479,0,6,4,0,83
8761,893,1,10,6,0,86
8762,968,2,4,6,0,76
8763,2205,1,13,6,0,55
8764,1754,4,9,7,0,60
8765,1481,5,8,8,0,54
8766,2510,7,12,10,0,1
8767,1931,7,16,11,0,7
8768,1836,3,24,8,0,29
8769,2345,0,8,7,0,55
8770,1537,6,14,7,0,40
8771,2897,2,14,8,0,46
8772,1248,8,18,11,0,0
8773,2259,4,4,6,0,48
8774,2803,7,17,10,0,0
8775,835,3,18,4,0,73
8776,1559,2,9,8,0,51
8777,2599,1,10,8,1,52
8778,2610,4,13,8,0,33
8779,1679,2,15,7,0,61
8780,1285,3,9,6,0,57
8781,2469,1,7,9,0,43
8782,2628,4,13,9,0,14
8783,984,3,8,9,0,42
8784,957,3,7,5,0,67
8785,1957,1,12,6,0,63
8786,2240,8,22,10,0,0
8787,1590,3,8,9,0,32
8788,2275,3,9,7,0,45
8789,1302,0,8,6,0,67
8790,500,3,14,7,0,65
8791,1503,1,7,5,0,80
8792,1844,8,15,11,0,0
8793,1606,4,15,9,0,38
8794,988,2,5,7,0,76
8795,529,2,9,8,0,52
8796,1440,6,0,8,0,39
8797,2428,1,9,8,0,41
8798,2679,2,10,8,0,46
8799,2631,4,13,10,0,13
8800,1228,5,3,8,0,50
8801,992,2,6,8,0,63
8802,2147,3,14,7,0,38
8803,2244,5,25,9,0,11
8804,2080,1,12,8,0,54
8805,500,3,21,8,0,52
8806,1193,1,16,5,0,72
8807,1779,1,10,8,0,49
8808,2141,2,15,7,0,56
8809,2337,3,20,10,0,14
8810,1900,2,10,9,0,45
8811,2031,3,6,7,0,38
8812,1859,3,13,9,0,40
8813,2279,3,10,8,0,38
8814,2019,2,8,5,0,67
8815,1846,3,11,7,0,41
8816,1612,4,9,8,0,40
8817,1856,5,11,8,0,37
8818,2139,3,8,9,0,26
8819,1987,3,9,9,0,22
8820,2066,2,8,9,0,44
8821,2739,3,18,9,0,30
8822,1985,5,8,10,0,15
8823,1345,2,15,6,0,53
8824,2418,2,21,9,0,38
8825,843,4,7,8,0,48
8826,1043,1,8,7,0,80
8827,2035,2,9,6,0,50
8828,2161,1,0,5,0,75
8829,928,0,10,6,0,68
8830,1532,0,9,8,0,58
8831,1375,7,22,11,0,8
8832,1459,2,12,5,0,70
8833,2460,3,12,7,0,45
8834,2294,3,8,8,0,32
8835,1786,7,7,9,0,25
8836,1417,1,12,5,0,74
8837,855,2,18,6,0,63
8838,2794,1,2,7,0,71
8839,2214,1,12,6,0,47
8840,1305,2,10,6,0,61
8841,2303,2,5,9,0,48
8842,1750,4,20,8,0,30
8843,1599,0,9,5,0,72
8844,2104,4,14,10,0,22
8845,1280,4,5,8,0,51
8846,1559,0,16,6,0,61
8847,1885,4,9,9,0,32
8848,1450,5,15,9,0,23
8849,2268,3,16,6,0,42
8850,3108,4,14,9,0,5
8851,1271,3,15,7,0,51
8852,634,6,20,8,0,45
8853,500,3,23,7,0,66
8854,1694,2,4,7,0,65
8855,1335,5,14,8,0,42
8856,1945,3,19,10,0,40
8857,1892,6,15,8,0,30
8858,677,2,0,7,0,70
8859,529,1,16,6,0,77
8860,2007,3,12,5,0,50
8861,1894,1,4,6,0,81
8862,1501,2,11,9,0,39
8863,639,3,14,7,0,50
8864,2129,5,10,9,0,27
8865,2690,2,9,8,0,48
8866,1994,5,17,9,0,12
8867,1206,1,4,5,0,76
8868,1831,4,16,9,0,26
8869,843,0,16,8,0,66
8870,2540,5,4,6,0,45
8871,1857,4,13,7,0,39
8872,562,3,14,8,0,56
8873,1589,0,8,7,0,60
8874,2124,1,13,9,0,33
8875,1566,1,10,6,0,73
8876,1606,1,14,10,0,35
8877,942,2,14,6,0,67
8878,2196,2,5,7,0,53
8879,1346,1,1,4,0,84
8880,500,1,3,4,0,87
8881,1540,3,19,7,0,50
8882,2486,1,5,7,0,55
8883,1529,2,11,7,0,44
8884,3016,4,17,8,0,29
8885,2100,6,14,9,0,24
8886,2037,6,19,9,0,19
8887,1710,0,11,9,0,59
8888,1752,3,8,7,0,42
8889,1615,3,5,8,0,48
8890,1588,2,14,7,0,59
8891,2171,4,15,11,1,28
8892,1144,2,7,7,0,64
8893,1046,3,16,9,0,37
8894,1013,2,9,8,0,58
8895,3231,1,10,5,0,54
8896,2171,6,16,9,0,21
8897,2013,6,13,9,0,13
8898,1059,5,9,6,0,46
8899,2236,0,15,5,0,76
8900,1718,4,20,9,0,28
8901,1949,2,6,9,0,39
8902,1116,5,13,8,0,44
8903,1912,3,15,7,0,44
8904,1503,1,11,7,0,58
8905,1264,4,20,8,0,27
8906,2313,4,15,8,0,39
8907,723,2,11,6,0,65
8908,2195,1,0,4,0,81
8909,2279,3,2,8,0,45
8910,1184,4,9,10,0,29
8911,1225,2,8,6,0,61
8912,1643,2,11,10,0,38
8913,1997,0,12,7,0,67
8914,1693,3,11,4,0,54
8915,2103,1,6,8,0,42
8916,3034,5,17,10,0,17
8917,1444,3,10,8,0,47
8918,599,3,13,7,1,74
8919,2378,2,5,6,0,56
8920,2978,3,13,9,0,28
8921,2074,1,6,6,0,68
8922,1038,5,18,8,0,26
8923,1713,3,10,6,0,60
8924,1017,5,13,9,0,46
8925,2249,3,7,6,0,57
8926,854,3,17,9,0,44
8927,1589,2,11,7,0,51
8928,1096,0,16,6,0,61
8929,1888,5,15,9,0,23
8930,1543,3,4,8,0,52
8931,1923,8,22,11,0,0
8932,1815,2,16,7,0,60
8933,1109,3,10,8,0,54
8934,2238,2,4,6,0,54
8935,1765,2,19,7,0,52
8936,1108,4,13,8,0,48
8937,3368,4,18,8,0,18
8938,2133,0,4,4,0,80
8939,1692,5,15,10,0,38
8940,2790,0,7,7,0,58
8941,3089,5,13,7,0,14
8942,1698,3,13,7,0,43
8943,2043,2,0,8,0,60
8944,1108,3,15,6,0,54
8945,1696,3,16,8,0,55
8946,1660,3,8,7,0,51
8947,1929,3,13,8,0,34
8948,2032,1,16,7,0,60
8949,2191,5,11,9,0,26
8950,1966,2,11,10,0,38
8951,952,2,7,6,0,67
8952,1143,3,3,9,0,56
8953,1417,2,8,8,0,49
8954,1602,2,7,7,0,50
8955,2535,1,11,8,0,55
8956,985,2,16,7,0,57
8957,1549,2,11,5,0,60
8958,2467,2,8,8,0,46
8959,1590,5,11,10,0,27
8960,2122,1,14,6,0,54
8961,1702,1,14,10,0,33
8962,1979,2,8,7,1,64
8963,1640,3,13,9,0,39
8964,2266,4,14,6,0,40
8965,718,1,5,7,0,76
8966,1545,3,11,10,0,45
8967,2007,3,7,7,0,55
8968,2173,2,18,7,0,46
8969,2845,2,5,8,0,37
8970,1526,1,6,5,0,70
8971,2835,3,14,9,0,25
8972,1338,2,10,5,0,77
8973,2730,2,9,6,0,53
8974,2372,2,16,7,0,36
8975,1160,1,11,8,0,51
8976,2014,2,9,7,0,56
8977,1764,0,5,8,0,65
8978,2237,4,8,6,0,28
8979,1643,3,8,7,0,56
8980,1584,3,9,7,0,54
8981,2758,5,11,9,0,4
8982,1730,0,4,7,0,67
8983,2378,3,15,9,0,27
8984,1642,1,13,7,0,57
8985,2966,5,9,9,0,23
8986,1325,4,18,9,0,38
8987,1370,8,14,10,0,13
8988,2867,6,7,10,0,16
8989,1488,1,3,6,1,84
8990,2920,3,16,8,1,33
8991,2424,4,18,8,0,34
8992,1691,3,9,9,0,32
8993,530,2,13,9,0,51
8994,1786,1,8,5,0,75
8995,1871,3,22,10,0,25
8996,2617,1,0,8,0,46
8997,2911,7,18,9,0,0
8998,1320,6,17,9,0,25
8999,2360,2,20,7,0,46
9000,2335,4,16,9,0,31
9001,2551,4,3,7,0,48
9002,2149,6,13,10,0,19
9003,500,1,11,6,0,73
9004,1691,1,5,6,0,73
9005,991,1,8,8,0,75
9006,1658,2,8,6,0,65
9007,2486,3,9,7,0,51
9008,2013,1,8,6,0,61
9009,2603,2,10,7,0,50
9010,2039,2,14,8,0,27
9011,891,2,7,6,0,82
9012,500,3,10,9,0,48
9013,1904,2,14,6,0,56
9014,1650,5,16,9,0,15
9015,1116,3,3,7,0,70
9016,609,0,3,4,0,94
9017,1285,4,9,8,0,39
9018,1663,5,11,7,0,33
9019,2266,0,7,4,0,62
9020,1932,0,2,6,0,64
9021,2925,2,0,5,0,64
9022,1075,3,6,7,0,65
9023,2416,2,14,9,0,39
9024,1833,6,15,9,0,20
9025,2286,6,12,6,0,19
9026,1494,1,9,7,0,55
9027,2550,5,14,7,0,31
9028,2006,3,24,9,0,38
9029,1324,0,11,7,0,64
9030,1791,5,12,7,0,34
9031,1632,2,14,8,0,40
9032,2142,1,13,8,0,59
9033,974,4,11,8,0,67
9034,1779,2,14,9,0,43
9035,2076,2,16,8,0,45
9036,1823,1,7,6,0,60
9037,2742,1,3,5,0,46
9038,2341,3,15,9,0,34
9039,1794,1,8,7,0,62
9040,1951,1,10,8,0,53
9041,2006,3,15,9,0,43
9042,2082,4,20,9,0,23
9043,522,3,9,6,0,75
9044,1588,5,12,8,0,24
9045,760,2,12,6,0,74
9046,2694,3,5,10,0,23
9047,1757,3,9,8,0,48
9048,1664,3,15,8,0,51
9049,2427,2,10,7,0,44
9050,2095,3,16,5,0,44
9051,1009,1,6,8,0,63
9052,1750,7,23,10,0,12
9053,1565,4,13,8,0,39
9054,578,3,10,7,0,50
9055,1316,4,17,7,0,57
9056,1671,2,3,8,0,50
9057,1719,2,8,9,0,61
9058,762,4,14,10,0,49
9059,2606,4,15,6,1,45
9060,1728,3,0,7,0,68
9061,1826,6,11,8,0,32
9062,2080,1,8,6,0,71
9063,1248,1,8,6,0,62
9064,2119,3,14,8,0,39
9065,1543,3,9,6,0,49
9066,1172,4,7,8,0,49
9067,2201,5,16,9,0,15
9068,2844,6,9,11,0,9
9069,2307,3,9,7,0,57
9070,2446,3,7,10,0,22
9071,1435,4,10,8,0,40
9072,681,1,0,6,0,73
9073,2843,6,13,8,0,13
9074,3238,5,18,11,0,7
9075,2879,2,9,9,0,32
9076,1564,5,2,10,0,35
9077,991,2,2,5,0,81
9078,1054,2,4,6,0,81
9079,621,3,10,5,0,63
9080,1724,5,5,7,0,46
9081,2923,2,12,9,0,42
9082,1700,2,18,8,0,47
9083,2011,2,15,8,0,53
9084,2762,3,14,7,0,29
9085,1517,4,17,7,0,34
9086,3224,3,18,8,0,30
9087,3194,8,20,13,0,0
9088,1708,3,5,6,0,41
9089,1395,3,18,6,0,68
9090,2288,0,9,7,0,66
9091,1556,1,6,8,0,62
9092,990,1,11,7,0,72
9093,2696,4,11,8,0,29
9094,2651,2,8,8,0,26
9095,1908,2,19,8,0,35
9096,915,1,0,7,0,66
9097,939,3,10,6,0,67
9098,1875,2,5,7,0,52
9099,1450,4,8,10,0,26
9100,1561,1,2,8,0,64
9101,2515,3,10,10,0,20
9102,2313,0,12,5,0,73
9103,2764,2,13,8,0,33
9104,1106,3,12,6,0,67
9105,1559,2,8,9,0,47
9106,2331,4,8,9,0,22
9107,2113,2,10,7,0,51
9108,2872,5,17,10,0,17
9109,2094,3,9,8,0,53
9110,3093,1,5,9,0,41
9111,2178,5,21,10,0,20
9112,2543,3,6,6,0,57
9113,1573,2,14,7,0,50
9114,1810,3,6,9,0,39
9115,2437,2,7,8,0,45
9116,2929,2,15,10,0,25
9117,2310,4,14,7,0,44
9118,1741,2,8,10,0,44
9119,2764,4,20,9,0,16
9120,500,1,3,5,0,69
9121,804,2,13,7,0,64
9122,2277,5,20,6,0,30
9123,1809,2,10,7,0,54
9124,2223,3,12,8,0,44
9125,1845,5,15,9,0,28
9126,2199,1,1,5,0,72
9127,1229,2,7,8,0,50
9128,2199,2,16,8,0,42
9129,2496,9,14,13,0,0
9130,2654,4,10,10,0,12
9131,3209,2,4,8,0,39
9132,1970,1,5,8,0,55
9133,1991,0,11,5,0,66
9134,733,1,2,6,0,77
9135,1428,6,6,8,0,47
9136,1664,4,17,9,0,30
9137,2535,4,12,8,0,29
9138,1372,2,4,6,0,75
9139,2357,2,13,8,0,45
9140,1798,5,8,7,0,44
9141,1675,1,8,5,0,75
9142,1974,4,8,6,0,43
9143,1526,1,0,7,0,67
9144,1499,1,14,7,0,59
9145,606,3,7,6,0,69
9146,1626,2,17,9,0,32
9147,1464,1,9,10,0,48
9148,1438,5,11,8,0,35
9149,2091,3,6,8,0,40
9150,2261,3,11,8,0,41
9151,1962,5,16,11,0,1
9152,2496,1,14,7,0,53
9153,2202,3,14,7,0,35
9154,1593,3,10,6,0,60
9155,1476,3,14,10,0,21
9156,2018,1,7,7,0,52
9157,2201,2,17,7,0,42
9158,2778,3,9,8,0,31
9159,2633,6,17,8,0,30
9160,1420,1,0,8,0,55
9161,1728,5,16,9,0,24
9162,2269,5,15,9,0,17
9163,2547,2,20,10,0,28
9164,2457,3,9,9,0,29
9165,1755,2,18,7,0,41
9166,922,2,10,8,0,62
9167,1100,3,19,8,0,46
9168,1990,3,13,10,1,47
9169,2039,3,8,10,0,35
9170,1030,4,19,6,0,44
9171,1831,2,8,8,0,53
9172,2241,5,12,9,0,18
9173,994,6,16,8,0,37
9174,2573,5,14,10,0,12
9175,1535,2,13,8,0,58
9176,2680,2,11,7,0,33
9177,1426,2,13,7,0,56
9178,1081,3,14,8,0,39
9179,1479,4,6,8,0,49
9180,1733,0,0,3,0,88
9181,1528,2,11,10,0,48
9182,1648,5,10,8,0,46
9183,2033,2,6,7,0,52
9184,1680,4,11,8,0,48
9185,1753,3,12,7,0,51
9186,603,1,8,6,0,84
9187,2074,3,15,6,0,54
9188,1737,3,7,6,0,63
9189,2927,3,20,10,0,20
9190,1142,2,15,5,0,63
9191,534,2,8,6,0,73
9192,2232,1,19,6,0,64
9193,2042,3,0,6,0,51
9194,1094,2,15,10,0,36
9195,729,2,10,7,0,54
9196,2876,2,16,7,0,43
9197,2789,4,10,8,0,31
9198,500,1,3,8,0,63
9199,1479,5,15,8,0,32
9200,2964,4,10,9,0,27
9201,1466,3,13,10,0,42
9202,1456,4,14,9,0,44
9203,1602,1,1,7,0,63
9204,1015,0,12,6,0,72
9205,606,0,0,4,0,88
9206,2536,3,26,11,0,11
9207,509,6,16,10,0,32
9208,1973,4,9,8,0,31
9209,2420,3,3,6,0,48
9210,784,1,12,6,0,77
9211,1153,5,16,9,0,23
9212,2649,2,10,8,0,44
9213,2173,4,11,8,0,25
9214,1367,2,13,4,0,69
9215,2641,2,0,7,0,41
9216,2644,3,5,10,0,20
9217,1988,1,12,6,0,60
9218,1169,1,6,7,0,75
9219,1510,0,11,7,0,66
9220,2000,1,4,6,0,66
9221,1667,3,11,7,0,37
9222,2457,1,6,6,0,61
9223,729,1,17,7,0,74
9224,754,3,9,8,0,58
9225,1926,5,19,10,0,17
9226,1455,1,10,6,0,58
9227,1361,5,9,7,0,41
9228,562,3,13,7,0,53
9229,1813,1,10,5,0,61
9230,1763,3,4,6,0,61
9231,2257,3,9,8,0,44
9232,1848,3,11,9,0,36
9233,1707,4,20,9,0,28
9234,2623,5,18,9,0,9
9235,881,1,7,6,0,77
9236,2175,2,2,7,0,61
9237,630,0,14,5,0,77
9238,1213,2,13,8,0,55
9239,951,2,2,8,0,64
9240,2347,5,6,9,0,28
9241,1754,5,10,8,0,23
9242,1790,1,16,9,0,32
9243,1025,1,4,5,0,75
9244,1590,2,6,7,0,49
9245,1265,0,0,6,0,80
9246,2068,1,8,5,0,61
9247,1106,1,19,7,0,57
9248,2730,7,20,8,0,18
9249,627,1,11,5,0,87
9250,1235,3,8,7,0,62
9251,2974,3,3,7,0,48
9252,1495,3,15,9,0,36
9253,879,3,10,8,0,50
9254,1953,5,16,10,0,21
9255,1467,9,9,9,0,10
9256,1214,4,15,6,0,41
9257,1032,1,19,6,0,72
9258,3737,6,11,9,0,0
9259,1623,3,0,4,0,72
9260,500,4,18,8,0,50
9261,2845,5,0,6,0,41
9262,2227,7,22,10,0,6
9263,1263,1,8,8,0,60
9264,1146,5,26,9,0,30
9265,2271,3,4,7,0,55
9266,1627,1,11,8,0,51
9267,500,2,0,5,0,64
9268,3051,3,19,10,0,17
9269,1496,0,11,5,0,82
9270,2846,3,13,8,0,20
9271,2694,1,14,9,0,30
9272,1099,2,2,8,0,51
9273,2523,5,16,9,0,22
9274,1343,2,20,6,0,40
9275,500,2,4,8,0,80
9276,1502,3,16,6,0,53
9277,2078,4,16,9,0,24
9278,1476,4,9,6,0,56
9279,1585,2,10,6,0,52
9280,2600,3,24,8,0,36
9281,1874,2,12,9,0,33
9282,1209,4,23,7,0,24
9283,2291,4,11,10,0,11
9284,1938,2,13,7,0,59
9285,500,2,8,7,0,74
9286,2099,2,12,9,0,28
9287,2074,1,5,8,0,52
9288,1814,0,0,4,0,68
9289,2424,5,11,9,0,5
9290,1329,3,21,9,0,30
9291,2035,2,0,6,0,60
9292,703,2,11,7,0,61
9293,2084,1,8,7,1,63
9294,3167,3,12,6,0,43
9295,1103,2,5,6,0,56
9296,1268,2,16,9,0,45
9297,1302,4,12,7,0,45
9298,1890,3,22,7,0,39
9299,1055,6,9,10,0,26
9300,2094,4,16,8,0,38
9301,2392,1,9,8,0,56
9302,2174,5,12,9,0,21
9303,562,1,2,8,0,75
9304,2496,4,23,9,0,18
9305,2456,1,5,7,0,57
9306,2381,4,15,10,0,20
9307,2060,3,8,6,0,53
9308,1954,3,17,7,0,50
9309,2522,2,5,6,0,40
9310,3146,3,19,9,0,25
9311,1132,3,6,7,0,62
9312,2554,4,13,8,0,37
9313,1739,6,15,8,0,19
9314,1709,2,8,9,0,39
9315,724,1,4,6,0,91
9316,1600,3,10,8,0,43
9317,1101,4,14,6,0,54
9318,1475,2,5,6,0,70
9319,1031,2,6,9,0,41
9320,1485,4,6,9,0,32
9321,1515,0,8,6,0,66
9322,1867,1,19,5,1,78
9323,669,0,8,7,0,79
9324,788,3,6,7,0,68
9325,2053,6,15,9,0,9
9326,1241,2,13,7,0,47
9327,2552,2,12,7,0,49
9328,1957,2,13,6,0,53
9329,2224,4,4,9,0,44
9330,2787,2,13,7,0,41
9331,1583,1,11,5,0,56
9332,1397,2,5,7,0,68
9333,2410,2,21,9,0,24
9334,2156,2,1,9,0,33
9335,1668,1,16,6,1,71
9336,2774,0,5,9,0,53
9337,1651,3,10,8,0,46
9338,1822,1,11,6,1,77
9339,1814,2,1,6,0,65
9340,1145,4,26,8,0,31
9341,1854,1,10,7,0,60
9342,2777,4,5,6,0,44
9343,2111,4,11,8,0,36
9344,1821,4,12,10,0,21
9345,1686,1,10,8,0,55
9346,2031,2,6,6,0,54
9347,2324,3,17,8,0,29
9348,2226,1,15,5,0,53
9349,1567,4,22,9,0,22
9350,2027,2,12,7,0,60
9351,2135,2,16,7,0,47
9352,1094,2,19,7,0,63
9353,1917,2,1,4,0,58
9354,500,4,24,7,0,57
9355,2137,1,13,8,0,53
9356,2262,5,10,8,0,30
9357,2323,1,8,8,0,56
9358,1523,4,10,7,0,37
9359,2016,3,5,6,0,49
9360,2796,1,16,8,0,32
9361,2789,2,20,8,0,33
9362,1779,2,0,8,0,50
9363,1897,2,19,8,0,43
9364,2577,6,15,10,0,10
9365,749,4,15,8,0,46
9366,1573,2,5,8,0,58
9367,2734,2,10,9,0,35
9368,2482,6,22,10,0,15
9369,2058,5,7,9,0,45
9370,745,4,16,8,0,40
9371,1765,1,14,7,0,57
9372,1387,2,8,7,0,61
9373,2031,4,7,9,0,31
9374,1233,1,8,6,0,64
9375,1081,1,18,7,0,58
9376,500,1,12,6,0,74
9377,2655,2,16,10,0,21
9378,1520,7,6,10,0,7
9379,1910,3,9,9,0,44
9380,1798,3,10,7,0,48
9381,1052,4,6,6,0,61
9382,918,1,6,4,0,94
9383,1096,4,13,9,0,36
9384,1293,6,11,8,0,27
9385,2056,1,7,8,0,48
9386,1242,1,13,7,0,58
9387,3022,3,8,9,0,33
9388,2519,4,17,9,0,27
9389,2365,6,13,9,0,9
9390,1716,2,6,9,0,44
9391,2859,2,17,8,0,39
9392,1647,4,13,9,0,30
9393,1778,1,0,6,0,63
9394,1918,1,0,6,0,75
9395,2291,2,6,5,1,63
9396,2245,0,5,4,0,86
9397,1467,1,10,5,0,76
9398,1426,4,13,11,0,36
9399,2247,2,5,6,0,70
9400,2300,2,10,8,0,39
9401,1524,1,7,7,0,44
9402,688,3,8,6,0,66
9403,1654,2,7,7,0,57
9404,2236,3,26,7,0,25
9405,3063,6,9,7,0,27
9406,961,3,6,7,0,55
9407,1501,5,12,10,0,23
9408,1527,4,19,8,0,42
9409,2749,3,10,8,0,40
9410,1775,4,13,5,0,43
9411,1164,4,22,7,0,40
9412,2191,4,14,8,0,36
9413,1516,0,2,6,0,72
9414,942,2,17,7,0,70
9415,1175,3,11,7,0,57
9416,3013,2,8,9,0,40
9417,2068,7,11,10,0,9
9418,1875,3,11,9,0,41
9419,1625,2,5,5,0,74
9420,2004,4,12,8,0,48
9421,1996,3,10,7,0,51
9422,2004,2,15,8,0,41
9423,1880,2,3,6,0,68
9424,2408,5,9,8,0,17
9425,1816,7,19,10,0,0
9426,1115,2,7,7,0,61
9427,1371,4,8,8,0,40
9428,500,3,11,9,0,46
9429,3218,7,14,12,0,0
9430,2403,6,7,9,0,22
9431,1218,3,0,9,0,54
9432,1602,3,18,10,0,36
9433,1354,3,14,6,0,46
9434,2879,2,18,10,0,20
9435,806,1,1,5,1,91
9436,1880,2,20,8,0,42
9437,1724,3,10,8,0,39
9438,2378,3,2,9,0,32
9439,1727,6,18,11,0,0
9440,569,2,6,7,0,73
9441,1624,3,19,8,0,45
9442,1119,1,3,4,0,87
9443,1855,2,15,8,0,50
9444,2803,9,10,10,0,1
9445,582,3,10,7,0,70
9446,1239,1,13,7,0,61
9447,1413,4,19,8,0,35
9448,1532,1,0,6,0,76
9449,2318,3,13,8,0,41
9450,1678,5,18,9,0,29
9451,2091,1,6,5,0,72
9452,1361,4,10,6,0,60
9453,1960,3,0,7,0,63
9454,2344,1,10,8,0,43
9455,1287,4,11,8,0,35
9456,2346,3,8,9,0,38
9457,1836,2,7,6,0,63
9458,2531,2,5,7,0,53
9459,1659,1,10,7,0,60
9460,2066,1,9,4,0,62
9461,1771,9,20,12,0,0
9462,1732,2,10,8,0,53
9463,1981,2,14,9,0,39
9464,2175,3,18,7,0,36
9465,925,6,10,9,0,31
9466,2803,5,9,9,0,20
9467,500,2,8,7,0,71
9468,1320,3,7,8,0,56
9469,1734,7,23,8,0,16
9470,2088,5,14,7,0,34
9471,2903,1,5,8,0,53
9472,500,2,10,6,0,66
9473,1444,0,7,7,0,57
9474,500,0,9,4,0,88
9475,1822,3,11,5,0,63
9476,1990,2,10,7,0,49
9477,2913,1,13,7,0,51
9478,1884,3,7,7,0,54
9479,2530,2,8,6,0,60
9480,2208,6,18,10,0,4
9481,1495,1,11,6,0,72
9482,813,1,3,7,0,71
9483,1992,4,8,9,0,34
9484,755,6,8,8,0,37
9485,2706,3,10,8,0,32
9486,1686,6,19,10,0,22
9487,2636,4,15,11,0,14
9488,1463,3,10,7,0,57
9489,1988,5,5,9,0,30
9490,1946,3,17,9,0,33
9491,1768,4,10,6,0,47
9492,1497,1,7,8,0,47
9493,2074,3,9,6,0,47
9494,1151,3,4,7,0,54
9495,953,4,20,10,0,39
9496,2669,5,22,10,0,7
9497,2309,3,10,8,0,44
9498,1846,1,1,5,0,74
9499,2965,3,16,11,0,9
9500,1612,5,17,7,0,26
9501,2725,3,10,8,0,31
9502,1922,1,22,9,0,37
9503,1082,1,13,7,0,65
9504,3093,3,6,9,0,33
9505,2493,6,6,8,0,26
9506,1715,5,11,8,0,34
9507,2309,3,22,8,0,36
9508,1517,2,8,6,0,77
9509,2380,1,8,6,0,62
9510,500,2,4,7,1,82
9511,1086,6,12,6,0,46
9512,2485,2,9,8,0,45
9513,1625,2,11,8,0,50
9514,1945,2,9,7,0,54
9515,857,0,7,7,0,64
9516,3093,2,6,8,0,48
9517,2633,3,15,8,0,14
9518,1659,3,17,7,0,43
9519,1516,4,19,8,0,38
9520,2520,9,13,9,0,3
9521,3187,2,3,7,0,42
9522,2467,2,10,8,0,42
9523,3320,5,18,10,0,8
9524,1154,2,10,7,0,58
9525,1226,3,8,6,0,67
9526,967,1,12,6,0,62
9527,2109,2,23,8,0,37
9528,1922,5,7,8,0,27
9529,1693,3,18,7,0,44
9530,2366,3,9,9,1,44
9531,2662,4,9,9,0,22
9532,732,5,18,9,0,32
9533,1382,2,9,6,0,55
9534,2374,3,5,7,0,50
9535,1472,5,13,8,0,36
9536,1241,2,11,6,0,56
9537,2512,1,9,6,0,54
9538,897,4,13,7,0,56
9539,1588,3,9,9,0,43
9540,2030,3,16,8,0,27
9541,1398,3,12,9,0,30
9542,2348,1,0,6,0,65
9543,1401,1,0,6,0,66
9544,2786,5,21,11,0,0
9545,1711,2,14,6,0,54
9546,2269,3,12,8,0,41
9547,2322,6,12,11,0,2
9548,1360,3,13,7,0,45
9549,500,5,19,9,0,39
9550,2052,3,12,6,0,44
9551,1850,2,13,7,0,44
9552,2189,2,19,8,0,37
9553,1641,0,1,6,0,67
9554,1498,0,6,8,0,57
9555,3205,3,16,8,0,27
9556,769,2,5,7,0,70
9557,2313,4,11,10,0,24
9558,1397,4,4,7,0,59
9559,1564,6,25,11,0,6
9560,1578,3,9,6,0,54
9561,1237,1,8,7,0,65
9562,2199,2,7,7,0,56
9563,2773,3,12,8,0,24
9564,2129,3,12,9,0,37
9565,1872,0,0,6,0,79
9566,1109,2,1,6,0,53
9567,2161,1,14,6,0,51
9568,3309,3,16,9,0,27
9569,1533,4,16,7,0,57
9570,1536,4,4,9,0,43
9571,1407,2,15,6,0,62
9572,1457,5,7,8,0,35
9573,500,1,7,7,0,66
9574,2083,3,7,10,0,29
9575,1208,4,27,8,0,43
9576,672,2,10,5,0,78
9577,2327,1,8,8,0,56
9578,1042,1,10,6,0,76
9579,1562,2,13,7,0,67
9580,2826,1,4,4,0,60
9581,813,1,15,6,0,70
9582,727,4,11,7,0,51
9583,1988,1,0,7,0,70
9584,2604,1,4,6,0,57
9585,697,3,21,7,0,56
9586,2085,3,14,9,0,32
9587,2206,2,8,6,0,58
9588,500,3,15,7,0,65
9589,2358,1,2,6,0,65
9590,2413,3,15,11,0,18
9591,1581,0,15,7,0,71
9592,2676,6,11,11,0,0
9593,2595,3,14,9,0,45
9594,1872,3,17,7,0,51
9595,1483,3,1,4,0,80
9596,1119,1,4,6,0,63
9597,1773,4,11,6,0,51
9598,2198,5,17,9,0,19
9599,1573,5,15,8,0,34
9600,500,1,9,4,0,83
9601,2688,2,10,8,0,42
9602,1933,1,5,7,0,55
9603,1534,3,3,6,0,50
9604,2400,0,8,7,0,64
9605,2867,2,9,8,0,49
9606,500,2,10,6,0,78
9607,2103,5,12,10,0,20
9608,801,3,14,9,0,33
9609,2149,2,4,5,0,58
9610,1889,2,11,8,0,50
